"post_title","ID","post_content","post_excerpt","post_date","post_name","post_author","post_status","featured_image","nextgen-gallery","post_format","comment_status","ping_status","vidbg_metabox_field_mp4_id","vidbg_metabox_field_no_loop","vidbg_metabox_field_overlay","vidbg_metabox_field_overlay_alpha","vidbg_metabox_field_overlay_color","vidbg_metabox_field_poster_id","vidbg_metabox_field_unmute","vidbg_metabox_field_webm_id","views","keywords","description","title","noindex","nofollow","custom_link","titleatr","menulabel","disable","disable_analytics","noodp","noydir","post_category","post_tag"
"Reasons to Immigrate to Australia","836","<p>Australian immigration is an easy process compared to other countries. However, it is always advisable to take the help of the <strong><em>immigration professionals</em></strong>, particularly the ones that are authorized by the Australian government.</p>
<p>&nbsp;</p>
<p>The Australian government authorizes those professionals who are up-to-date with their <strong><i>immigration visa formalities</i></strong> and welcomes them through migration agent’s registration authority.</p>
<p>&nbsp;</p>
<p>If you look closely, you will find that Australia is the smallest continent and the largest island with a varied landscape. Its beauty attracts many foreigners for <strong>Australian immigration</strong> as it is an ideal place for professionals to work. The immigrants are granted decent jobs with a handsome salary and facilities that are just irresistible. Another key reason for these facilities and jobs is the fact that the country faced the problem of decline in the population, which makes the government to look for new and skilled workers.</p>
<p>&nbsp;</p>
<p>In order to get your visa without any troubles, it is advisable to go for a consulting firm that are engaged in helping with the process of getting the people to successfully <a target=""_blank"" href=""https://www.immigrationxperts.com/why-immigrate-to-australia/"" title=""australia immigration from india""><em><strong>migrate to Australia</strong></em></a>. These firms stay up-to &ndash;date with any developments in this field, so that you get every piece of information.</p>
<p>&nbsp;</p>
<p>There are different types of visas, take the help of the consultants to select the best suitable visa for you. If you are looking for a job and you have a master’s degree in a course you are eligible for skilled migration. <strong><i>Skilled migration</i></strong> is the best kind of visa if you are looking for a job with added perks. Moreover, you get the several facilities that make this visa unique; you can bring over your immediate family members after you get a job. The education and other livelihood facilities are excellent in Australia, not to mention that Australia has one of the highest standards of living in the world.</p>
<p>&nbsp;</p>
<p>The only thing that will get you through is your English language skills, if you are good with the English language, you can easily compensate your scores with the help of it.</p>
		",,"2014-10-15 07:57:04","reasons-to-immigrate-to-australia","1","publish","https://www.immigrationxperts.com/wp-content/uploads/2016/06/10-reasons-to-immigrate-to-australia-1-638.jpg",,,"1","open","0","off","off","30","#000","0","off","0","94",,,,,,,,,,,,,"Immigration News|Australia",
"Australia Will Face a Skill Workforce Shortage of 2.3 Million By 2030","839","		<p>Australia will be among the few developed countries in the world, which will face a shortage of skilled workers in the coming years, according to research released this week by the <strong>Boston Consulting Group</strong>.</p>
<p>The study was conducted on 25 countries, <strong>BCG</strong> forecasts demand for workforces will soon outdo the supply in Australia, causing a deficit of <strong>2.3</strong> million workers by<strong> 2030</strong>.</p>
<p>While BCG found Australia’s labor market is projected to grow by an average of <strong>1.02%</strong> until 2020, after this time, the operational problems with a labor market attempting to keep pace with a growing economy will cause the trend to converse.</p>
<p>“Based on current drifts and a do-nothing scenario, we would have to see GDP fall to just <strong>3%</strong> over many years to avoid a labor crunch,”. “That’s clearly not an answer.”</p>
<p>If the trend in Australia is going to change in such a short span of time, it will be a great opportunity for skilled workers, who want to migrate to the country with vacuum for skilled workers. Thus<strong><a target=""_blank"" href=""https://www.immigrationxperts.com/why-immigrate-to-australia/"" title=""Immigration to Australia""> immigration to Australia </a></strong>can be really rewarding for skilled people.</p>
<p>Job seekers who are looking to migrate to Australia, should tighten up their shoes and get ready to hunt for the jobs they so badly want. With so many opportunities up for grabs, the deserving candidates, won’t find it difficult to get into coveted organizations.</p>
		",,"2014-10-03 07:59:33","australia-will-face-a-skill-workforce-shortage-of-2-3-million-by-2030","1","publish","https://www.immigrationxperts.com/wp-content/uploads/2016/06/SkilledWorkforce.jpg",,,"1","open","0","off","off","30","#000","0","off","0","58",,,,,,,,,,,,,"Immigration News|Australia",
"AUSTRALIA: The Most Liveable City in the World: Melbourne","842","<p>Its is not surprising that Victoria, and in particular, Melbourne continue to be in high demand for overseas migrants. In August 2013, the Economist Intelligence Unit (EIU) released their updated Global Liveability Survey which named, for the third consecutive year, Melbourne as the best city in the world to live.</p>
<p>Melbourne was followed in the ranking by Vienna, Vancouver and Toronto while the top 10 also featured other Australian cities, Adelaide, Sydney and Perth at number 6, 7 and 9 respectively. The EIU ranking’s top spots are occupied by mid-sized cities in wealthier countries with a relatively low population density. This means low crime rates, good infrastructure, health services and education opportunities as well as high availability of cultural and recreational activities.</p>
<p>Melbourne is a multicultural city with a vibrant arts scene complemented by its renowned café and culinary culture. Having been selected the world’s most liveable city for the third year in a row, Melbourne continues to attract large scale migration with a significant percentage of permanent migrants to Australia choosing to make Victoria home. According to figures provided the Department of Immigration and Citizenship (DIAC), more than 300,000 new migrants have settled in Victoria in the last 5 years.&gt;</p>
		",,"2014-09-18 08:37:18","australia-the-most-liveable-city-in-the-world-melbourne","1","publish","https://www.immigrationxperts.com/wp-content/uploads/2016/06/melbourne.jpg",,,"1","open","0","off","off","30","#000","0","off","0","48",,,,,,,,,,,,,"Immigration News|Australia",
"Australia : Visa Entitlement Verification Online (VEVO) for Visa Holders","845","<p>Australian visa holders are giving employers, education providers and other third parties evidence of their visa status quicker and easier thanks to VEVO Email&mdash; a new tool that enables visa holders to email their details to a third party directly from VEVO. Visa Entitlement Verification Online or VEVO is a free online service that gives visa holders, employers and other registered organisations access to visa entitlements and status information 24 hours a day.</p>
<p><b>What is needed to use this service?</b></p>
<p>VEVO enquiries can be made online. You must have a Transaction Reference Number (TRN) or password, along with your:</p>
<ul>
<li>date of birth</li>
<li>passport number</li>
<li>country of passport</li>
</ul>
<p>If you do not have a TRN or a password, have forgotten your TRN or password, or have a question about using the VEVO system, contact the Department of Immigration and Citizenship<b>.</b></p>
		",,"2014-09-17 08:43:34","australia-visa-entitlement-verification-online-vevo-for-visa-holders","1","publish","https://www.immigrationxperts.com/wp-content/uploads/2016/06/VEVO.jpg",,,"1","open","0","off","off","30","#000","0","off","0","1562",,,,,,,,,,,,,"Immigration News|Australia",
"Skilled Migration Forum in Perth Is Greeted With Union Protest","848","		<p>More than 250 unionists blocked the entrance of a Perth hotel where the conference on foreign workers was going on. The Duxton hotel in Perth witnessed a ravaging protest by angry unionists against the Federal Government’s decision to reverse the previous Labor Government’s restrictions on the occupation of foreign workers.</p>
<p>&nbsp;</p>
<p>The Senator addressed the annual Australian Mines and Metals Association (AMMA) <em><strong>skilled migration</strong></em> conference. The Labor’s Federal immigration and Border Protection spokesman was also present at the annual event.</p>
<p>&nbsp;</p>
<h2>The street outside the hotel was filled with groups of Banner-waving protestors blocking the entrance.</h2>
<p>&nbsp;</p>
<p>The reason behind this fuss is that the Unionists are angry about the Government’s decision to ease rules revolving around foreign employment on the offshore oil and gas projects.</p>
<p>The Federal court ordered Maritime Union of Australia (<strong>MUA</strong>) to measures introduced by the Abbott Government, which pursued to abolish restrictions lying on the employment of non- Australian workers on the sites.</p>
<p>This came as a shock as the former government has amended the Migration Act to expand the migration norms as a result of which foreign workers needed a <strong>permanent visa</strong> to work on offshore oil and gas platforms.</p>
<p>&nbsp;</p>
<p>However, this year, the Abbott Government introduced a new regulation that would allow temporary visas to be acceptable for non-Australian workers and null and void the need for these workers to obtain a permanent visa to work.</p>
<p>&nbsp;</p>
<p>This is good news for the foreign workers as the previous act is not in power now, the amendment allows foreign workers to work without a permanent visa. If you are a skilled worker willing to work in Australia you can contact the <a target=""_blank"" href=""https://www.immigrationxperts.com/"" title=""Best Immigration Consultants in Delhi""><strong>best immigration consultants in Delhi</strong></a> to get more details.</p>
		",,"2014-09-15 08:48:10","skilled-migration-forum-in-perth-is-greeted-with-union-protest","1","publish",,,,"1","open","0","off","off","30","#000","0","off","0","42",,,,,,,,,,,,,"Immigration News|Australia|India",
"Australia : Melbourne Tops Live ability List! has edged out Austria’s","850","<p>Melbourne has edged out Austria’s capital Vienna to claim the Global Liveability Survey title of the best city in the world to live in for the second year running.The global liveability survey is an annual list compiled by the Economist Intelligence Unit (EIU). Survey editor Jon Copestake says that while Melbourne enjoys top bragging rights, there is little separating the top Australian cities.<br>
“Australian cities continue to thrive in terms of liveability. Not only do they benefit from the natural advantages of low population density, but they have continued to improve with some high profile infrastructure investments,” Copestake said in a statement.</p>
<p>Melbourne’s score of 97.5 per cent is close to the perfect score, with the city only losing points for climate, culture and petty crime.</p>
<p>The survey measures cities across five categories: stability, health care, culture and environment, education and infrastructure. It surveyed 140 cities worldwide.<br>
The world’s top 10 most liveable cities:</p>
<p>1. Melbourne, Australia.<br>
2. Vienna, Austria.<br>
3. Vancouver, Canada.<br>
4. Toronto, Canada<br>
5. Calgary, Canada<br>
5. (Equal) Adelaide, Australia.<br>
7. Sydney, Australia.<br>
8. Helsinki, Finland.<br>
9. Perth, Australia.<br>
10. Auckland, New Zealand.</p>
<p><i>Source: The Economist Intelligence Unit’s Global Liveability Survey 2012.</i></p>
<p>&nbsp;</p>
		",,"2014-08-18 08:51:59","australia-melbourne-tops-live-ability-list-has-edged-out-austrias","1","publish",,,,"1","open","0","off","off","30","#000","0","off","0","26",,,,,,,,,,,,,"Immigration News|Australia",
"Guilty Immigration Officer Flees Australia with 1.2 Million in the Bank","852","<p>Recently, a corrupt immigration official and her husband who were allegedly involved in a $3 million visa racket were allowed to flee the country with more than a million in the bank soon after their home was stormed by federal agents.</p>
<p>&nbsp;</p>
<p>Reetika Ajjan, who was a former employee of the <strong>Australian Department of Immigration</strong>, was accused of supplying government information and equipment to an illegal racket whose master mind was her husband Jeetender, which caused in more than 1,000 deceitful visa applications. This is shocking <strong>news for Australia’s Immigration</strong> Department who had no clue that this racket has been operational for many years.</p>
<p>&nbsp;</p>
<p>A police raid at the couple’s house turned up almost $500,000 in cash, which was enough to charge the couple with the felony.</p>
<p>&nbsp;</p>
<p>But unfortunately, Mr. and Ms. Ajjan were successful in fleeing the country because the Immigration Department was unsuccessful to seize passports or safeguard a criminal charge was laid quickly.</p>
<p>&nbsp;</p>
<p>Surprisingly, the couples were also able to wire $1.2 million to India safely in the days after the raid and before they fled to India. This has resulted in a buzz in the <strong>immigration scenario</strong> all over the world. The Australian Government is dazed at their incompetence to catch the couple and not having knowledge of this shocking event.</p>
<p>&nbsp;</p>
<p>A press conference from the Immigration Department, conveyed that investigators thought Ms. Ajjan should be heavily charged for dealing with proceeds of crime of a value exceeding $100,000, which carries a penalty of up to 20 years in jail for engaging in this felony with her partner.</p>
<p>&nbsp;</p>
<p>Ms. Ajjan and her accused husband are now happily living in <strong>Delhi </strong>and <strong>Australian</strong> authorities are unable to press charges against them, their best hope is to at least attempt to recover the $1.2 million she transferred to India, which is alleged to be the proceeds of crime, but the Australian Federal Police has indicated the money may be difficult to recover. These shocking events take place many a times in different countries; the authorities need to be more alert so that these rackets don’t take place</p>
		",,"2014-08-17 08:52:31","guilty-immigration-officer-flees-australia-with-1-2-million-in-the-bank","1","publish",,,,"1","open","0","off","off","30","#000","0","off","0","72",,,,,,,,,,,,,"Immigration News|Australia",
"India will take back all its citizens, detained onboard a boat seized by Australia","855","<p>New Delhi: India today said it will take back all its citizens, detained onboard a boat seized by Australia, but a decision on other nationals will be taken as per international law and convention after ascertaining their identity.</p>
<p>A Home Ministry spokesperson said as per current policy, India will take back its own nationals, detained onboard a boat seized by the Australian authorities in the last week of June this year, provided the consular access clearly determines their origin.</p>
<p>However, in case of other nationals, decision would be taken as per international law and convention after ascertaining their identity, the spokesperson said.</p>
<p>The government’s reaction came after Australia’s Immigration Minister Scott Morrison, who was in New Delhi last week and had met Home Minister Rajnath Singh and External Affairs Minister Sushma Swaraj, said that India has agreed to take back its citizens and would even consider taking non-citizen residents such as Sri Lankans.</p>
<p>“We have seen press reports on briefings by Australian Minister of Immigration and Border Protection Scott Morrison on the issue of 157 persons who are held up at sea off the shores of Australia and his interactions with Home Minister and External Affairs Minister in New Delhi on July 23.</p>
<p>“India has a policy of not supporting illegal migration either into India or anywhere outside India. During the visit of Minister Morrison to India, the Indian authorities have clearly conveyed to the Australian side that the first requirement is to provide consular access to Indian High Commission officials in Australia to the persons,” a Home Ministry statement said.</p>
<p>It further said India’s policy is to accept return of Indian citizens and other persons whose return it is obligated to accept under applicable Indian domestic law.</p>
<p>“As per current policy, India will take back its own nationals provided the consular access clearly determines their origin,” it said.</p>
<p>During the meeting with Morrison, Singh and Swaraj had asked him to provide consular access to 157 people whose boat was seized by Australia and asked him to ensure that no harm is caused to any of the detainees.</p>
<p>A group of 157 asylum seekers, including Sri Lankan Tamils, were held at sea for weeks by Australia. The group, including women and children were now being transferred to the Cocos Islands, and then would be flown to Curtin detention centre in remote Western Australia, media reports said.</p>
<p>Source : http://freepressjournal.in/india-ready-to-take-back-its-citizens-home-ministry/</p>
	",,"2014-07-26 08:54:34","india-will-take-back-all-its-citizens-detained-onboard-a-boat-seized-by-australia","1","publish",,,,"1","open","0","off","off","30","#000","0","off","0","68",,,,,,,,,,,,,"Immigration News|Australia|India",
"Queensland Simplifies the Visa Requirement for PhD Graduates","859","<p>Recently it was announced by <strong>Queensland state government</strong> that Visa requirement for Queensland state sponsorship has been eased for<em> PhD graduates</em>. This is astounding news for PhD graduates who completed overall PhD in Queensland; they don’t require a 12 month job offer when they apply for Queensland<em> state sponsorship</em>. It has been ages since any relaxation has been announced for students doing PhD there, the students can have a sigh of relief. Likewise, they can apply for state sponsorship without any worries.<br>
<p>&nbsp;</p>
Miraculously the change in the application for sponsorship is open for all occupations which are available for Australian migration. Especially, it facilitates Queensland PhD graduates who unfortunately who have an occupation but is not listed in <em>skilled occupation list</em> or who entail additional points in order to satisfy the points based test for migration. This helps migrants who are looking for some points to qualify for the migration points based test, having a PhD under the belt finally pays off for migrants.<br>
<p>&nbsp;</p>
Under the Queensland government’s immigration new guidelines, a state-sponsored visa can either be permanent or provisional depends on your choice which will open the pathway to permanent residency for you. If and when you have permanent residency for Australia you can enjoy all the facilities the country has to offer unbiased of the fact that you are a migrant. Moreover, there is great news; you can call your immediate family to live with you after obtaining permanent residency.<br>
<p>&nbsp;</p>
At present, there are two separate lists for the purpose of state sponsorship maintained by Queensland Government, which includes the list for Subclass 190 Permanent State Sponsorship and the other for the Provisional Subclass 489 visa. Both lists are intended to endorse the settlement of new migrants in regional areas of Queensland.<br>
If you are looking to relocate to Australia this is a fine opportunity, consult immigration experts today.</p>
		",,"2014-07-09 08:56:51","queensland-simplifies-the-visa-requirement-for-phd-graduates","1","publish",,,,"1","open","0","off","off","30","#000","0","off","0","85",,,,,,,,,,,,,"Immigration News|Australia",
"Australian visa centre opens in Jalandhar","861","<p>The Australian Government has moved to meet a growing demand in Punjab for visas to Australia by opening a brand new Visa Application Centre (VAC) in Jalandhar, operated by its commercial partner, VFS Global.</p>
<p>Jose Alvarez, the Australian Government’s Minister Counselor for Immigration and Regional Director (South Asia) inaugurated the centre on July 3.</p>
<p>Australia’s High Commissioner to India, Patrick Suckling, welcomed the new facility and said that the centre would make it much more convenient for people in the region to apply for visas to Australia. He said “The flow of people between India and Australia is increasing in volume, and this is deepening and strengthening the bonds between our two countries,”</p>
<p>“I am confident Australia would continue to receive increased number of business visitors, tourists, skilled migrants and students from India, which will continue to benefit our bilateral relationship,” he added. Vishal Jairath, Regional Head- South Asia, VFS Global, was also present and said“VFS Global is privileged to partner with the Government of Australia to open a new Visa Application Centre in Jalandhar. This will enhance the visa application experience of travellers to Australia from Punjab.” He said that VFS Global has been associated with the Government of Australia in India since 2007, and this extension would go a long way in forging a longstanding partnership. It is pertinent to mention here that for the</p>
<p>first time in its history, the Australian High Commission in New Delhi issued more than 100,000 tourism visas to Indians in a single financial year (1 July 2013 to 30 June 2014), with numbers increasing by 10 percent in the first three months this year.</p>
<p>Source :&nbsp;http://epaper.dailypostindia.com/Details.aspxid=109583&amp;boxid=58964&amp;uid=&amp;dat=2014-07-05</p>
		",,"2014-07-03 08:58:53","australian-visa-centre-opens-in-jalandhar","1","publish",,,,"1","open","0","off","off","30","#000","0","off","0","412",,,,,,,,,,,,,"Immigration News|Australia",
"Australia : Review of the Western Australian Skilled Migration List","863","		<p>24 June 2013<br>
The Department of Training and Workforce Development is conducting a review of the Western Australian skilled migration occupation list.</p>
<p>The following occupations are under review and will be ‘not available’ for State sponsorship from 1 July 2013.</p>
<p> 312112 Building associate<br>
 139911 Arts administrator or manager<br>
 511111 Contract administrator<br>
 323316 Watch and clock maker and repairer<br>
 323412 Toolmaker<br>
 234412 Geophysicist<br>
 331112 Stonemason<br>
 312911 Maintenance planner<br>
 323299 Metal fitters and machinists not elsewhere classified<br>
 234313 Environmental research scientist<br>
 233411 Electronics engineer<br>
 233112 Materials engineer<br>
 399111 Boat builder and repairer<br>
 399211 Chemical plant operator<br>
 223311 Training and development professional<br>
 139913 Laboratory manager<br>
 232112 Landscape architect<br>
 231215 Ship’s surveyor<br>
 234914 Physicist<br>
 311411 Chemistry technician<br>
 142114 Hair or beauty salon manager<br>
 312512 Mechanical engineering technician<br>
 234399 Environmental scientists not elsewhere classified<br>
 321213 Motorcycle mechanic<br>
 321214 Small engine mechanic<br>
 323313 Locksmith<br>
 323411 Engineering patternmaker<br>
 324212 Vehicle trimmer<br>
 333311 Roof tiler<br>
 342212 Technical cable jointer<br>
 392111 Print finisher<br>
 392312 Small offset printer<br>
 393212 Clothing patternmaker<br>
 399112 Shipwright<br>
 399512 Camera operator (film, television or video)<br>
 399916 Plastics technician<br>
 452413 Jockey<br>
 323112 Aircraft maintenance engineer (mechanical)</p>
<p>Applications lodged before 1 July 2013 will not be affected.</p>
<p>It is anticipated the review will be completed on 1 October 2013 and the outcome will be published on the website.</p>
		",,"2014-07-03 09:00:43","australia-review-of-the-western-australian-skilled-migration-list","1","publish",,,,"1","open","0","off","off","30","#000","0","off","0","30",,,,,,,,,,,,,"Immigration News|Australia",
"Australia Issues Validity Period for Skills Assessment","865","		<p>Just after the immigration changes were declared by the <em>Australian Department of Immigration and Border Protection</em> <strong>(DIBP)</strong>, a three year validity period will be functional for skills assessment issued by assessing authorities for the purpose of visa applications which will be applicable from July 1, 2014.</p>
<p>&nbsp;</p>
<p>This is great news as several skill assessments did not have validity periods in the past. This will help encourage immigration from all over the world for people who are looking to <em><strong>migrate to Australia</strong></em>. The DIBP officer conveyed that the default three year validity period for skills assessment is to balance out the existing three year validity period for English Language Tests. Earlier only English language test had <em>three years validity period</em>, realizing that at least the same amount of time is required for other skills assessment the DIBP came to the conclusion of increasing validity period for all skills assessments.</p>
<p>&nbsp;</p>
<p>Consequently, a skills assessment preparation to apply for an <em><strong>Australian visa</strong></em> need be valid at the time of visa lodgment from the 1st of July for various visas comprising:</p>
<p>Direct Entry stream of the Employer Nominated Scheme (subclass 186) visa, in which you are entitled for a visa if an employer who is a permanent residence of Australia offers you a job and sponsors you. Benefit of which is that it is easy to get a visa, there are minimal paperwork and regulations</p>
<p>&nbsp;</p>
<p>Direct Entry stream of the Regional Sponsored Migration Scheme (subclass 187) visa</p>
<p>Graduate Work stream of the Temporary Graduate (subclass 485) visa</p>
<p>&nbsp;</p>
<p>In accordance, a skills assessment is required to be valid at the time of invitation to apply through Skill Select for the visas including:</p>
<p>&nbsp;</p>
<p><a href=""https://www.immigrationxperts.com/australia-skilled-independent-sub-class-189/"" title=""Australia Skilled Independent Sub Class 189 Visa""><em>Skilled-Independent (subclass 189) visa</em></a></p>
<p><a href=""https://www.immigrationxperts.com/australia-skilled-independent-sub-class-190/"" title=""Australia Skilled Independent Sub class 190""><em>Skilled-Nominated (subclass 190) visa</em></a></p>
<p><em>Skilled Regional (Provisional) (subclass 489) visa</em></p>
<p>&nbsp;</p>
<p>If you are desperately waiting to <a target=""_blank"" href=""https://www.immigrationxperts.com/why-immigrate-to-australia/"" title=""Australia Immigration from India""><em><strong>migrate to Australia</strong></em></a> for the wide range of opportunities they are providing apply now. <em>Consult immigration experts</em> who can provide you proper information so as to select the class of visa suited for you.</p>
		",,"2014-06-19 09:02:01","australia-issues-validity-period-for-skills-assessment","1","publish",,,,"1","open","0","off","off","30","#000","0","off","0","105",,,,,,,,,,,,,"Immigration News|Australia",
"Australia : Permanent state nomination for South Australia provisional visa holders","867","<p>From 14 May until 15 June 2014, people who hold a South Australian state nominated provisional visa (subclass 489, 475, 487 and 495 only), who are living and working in the state can apply for a 190 &ndash; Skilled Nominated Permanent visa through Immigration South Australia.</p>
<p>This trial program enables people who have already secured a provisional state nominated visa to apply for a permanent visa through the same program.<br>
Before you apply<br>
You should make sure you are aware of the Department of Immigration and Border Protection cost associated with the 190 &ndash; Skilled Nominated visa. For a single applicant the minimum application cost is $3520 compared to the $370 for the 887 &ndash; Skilled Regional visa.</p>
	",,"2014-05-14 09:03:17","australia-permanent-state-nomination-for-south-australia-provisional-visa-holders","1","publish",,,,"1","open","0","off","off","30","#000","0","off","0","51",,,,,,,,,,,,,"Immigration News|Australia",
"Australia : Re pleaded & Closed Visas","869","<p>The following visas got Closed as on 2nd June 2014</p>
<p>Parent visa (subclass 103)<br>
Aged Parent visa (subclass 804)<br>
Aged Dependent Relative visa (subclasses 114 and 838)<br>
Remaining Relative visa (subclasses 115 and 835)<br>
Carer visa (subclasses 116 and 836).</p>
<p>The visas will be closed to new applications before the start of the 2014-15 Migration Programme year.</p>
		",,"2014-06-02 09:05:03","australia-re-pleaded-closed-visas","1","publish",,,,"1","open","0","off","off","30","#000","0","off","0","30",,,,,,,,,,,,,"Immigration News|Australia",
"Australia : Immigration Minister sees biometrics future for border protection","871","<p>Travellers entering Australia will soon be checked to see if they have undeclared criminal convictions against a biometrics database before being allowed into Australia, Federal Minister for Immigration and Border Protection Scott Morrison announced this at the Biometrics Institute Asia Pacific conference in Sydney yesterday. Morrison told delegates that the government is investing $700 million over the next six years to modernise Australia’s border management system with specific vigilance on weeding out ex-convicts and people with links to terrorist groups.</p>
<p>It is expected that most travellers will sail through the immigration gates as the system aims at making processing quicker and easier for legitimate travellers. The aim is to have such travellers move through the automated immigration system in ‘less than a minute”.</p>
		",,"2014-05-28 09:05:49","australia-immigration-minister-sees-biometrics-future-for-border-protection","1","publish",,,,"1","open","0","off","off","30","#000","0","off","0","51",,,,,,,,,,,,,"Immigration News|Australia",
"South Australia state sponsorship list added 18 additional occupation","874","<div class=""col-md-12"">
<div class=""col-md-2"">
<p><a href=""https://www.immigrationxperts.com/wp-content/uploads/2014/10/sa-0004-Layer-21.jpg""><img height=""134"" width=""126"" alt=""sa-0004-Layer-21"" src=""https://www.immigrationxperts.com/wp-content/uploads/2014/10/sa-0004-Layer-21.jpg"" class=""alignnone size-full wp-image-2819""></a></p></div>
<div class=""col-md-10"">
<p>SOUTH AUSTRALIA STATE NOMINATION OCCUPATION LIST UPDATE</p>
<p>The South Australian Government, in collaboration with local industry, regularly conducts research to identify skill needs in its labour market and update its skill shortage lists.</p>
</div>
<p>&nbsp;</p>
<p>&nbsp;</p>

<div class=""col-md-12"">
<p>&nbsp;</p>
<p>The list was updated on 8 April 2014 and the following occupations added:</p>
<p>&nbsp;</p>
<p>132111 Corporate Services Manager<br>

134211 Medical Administrator<br>

134299 Health and Welfare Services Managers, nec<br>

149212 Customer Service Manager<br>

149915 Equipment Hire Manager<br>

222311 Financial Investment Adviser<br>

223211 ICT Trainer224611 Librarian<br>

262111 Database Administrator<br>

271214 Intellectual Property Lawyer<br>

311215 Pharmacy Technician<br>

351411 Cook361211 Shearer<br>

391111 Hairdresser<br>

399212 Gas or Petroleum Operator<br>

399918 Fire Protection Equipment Technician<br>

411311 Diversional Therapist451815 First Aid Trainer</p>

<p>The complete list is available at https://www.migration.sa.gov.au/SNOL_data.</p></div></div>
		",,"2014-05-17 09:12:38","south-australia-state-sponsorship-list-added-18-additional-occupation","1","publish","https://www.immigrationxperts.com/wp-content/uploads/2016/06/2013-07-19_181425_New-Adelaide-South-Australia-Branding-Logo.jpg",,,"1","open","0","off","off","30","#000","0","off","0","59",,,,,,,,,,,,,"Immigration News|Australia",
"Australia: Sydney migration agent jailed for fraud","877","<p>Wednesday, 23 April 2014</p>
<p>The Federal Government said that the jailing of a former migration agent for immigration fraud sent a strong message to the industry that fraudulent and illegal behaviour will not be tolerated.</p>
<p>Ms Xiao Ying Wu (known as Amy Wu), was based in Sydney’s Chinatown and pleaded guilty to forging immigration documents and defrauding her clients, who were seeking assistance with visa applications, in order to obtain more than $80 000.</p>
<p>She was sentenced today in the Downing Centre District Court to 21 months’ imprisonment, with five months to be served, in relation to two Commonwealth charges of using false documents to obtain benefits.</p>
<p>She also received 18 months’ imprisonment with five months’ minimum term (to be served concurrently) for two charges under the NSW Crimes Act of dishonestly obtaining a financial advantage.</p>
<p>The court also made a reparation order in relation to the Commonwealth charges of $13 405 and $18 935 to the respective victims and a compensation order relating to the state charges of $31 550 and $10 000 for her victims.</p>
<p>Assistant Minister for Immigration and Border Protection, Senator the Hon Michaelia Cash, said an investigation into Wu’s activities began in response to a referral from the Office of the Migration Agents Registration Authority, as well as complaints received directly from the community.</p>
<p>Minister Cash said the case served as a warning to would-be fraudsters that the government will actively pursue the prosecution of people involved in immigration fraud and unlawfully obtaining Australian visas.</p>
<p>‘The government takes allegations of fraud by those in trusted positions, such as registered migration agents, very seriously,’ Minister Cash said.</p>
<p>Source : http://www.minister.immi.gov.au/media/mc/2014/mc213691.htm</p>",,"2014-05-07 09:14:24","australia-sydney-migration-agent-jailed-for-fraud","1","publish",,,,"1","open","0","off","off","30","#000","0","off","0","52",,,,,,,,,,,,,"Immigration News|Australia",
"Australia needs more Asian migrants: economist","879","<div class=""col-md-12"">
<div class=""col-md-3"">
<p><a href=""https://www.immigrationxperts.com/wp-content/uploads/2014/10/download.jpg""><img height=""208"" width=""242"" class=""alignnone size-full wp-image-2816"" alt=""download"" src=""https://www.immigrationxperts.com/wp-content/uploads/2014/10/download.jpg""></a></p></div>
<div class=""col-md-9"">
<p>Paul Bloxham, chief economist at HSBC Bank, said larger pools of migration from Asia could prove a boon for the economy and offset the pending cost of retiring baby boomers.</p>
<p>Mr Bloxham’s rationale was that Asians tended to be younger, better educated and came with skills that Australia needed. Asian people, he argued, already had a history of successful integration and could help strengthen our economic ties to many of our most important trading partners.“Strong migration flows, particularly from fast growing Asian nations, could help Australia deal with its demographic challenges and also strengthen links with the fastest growing economies,” Mr Bloxham said. Mr Bloxham agreed that any substantial increase in migrants would need to be supported by increased housing, infrastructure spend and social services. However Mr Bloxham’s comments also mirrored those of RBA governor Glenn Stevens recently when he said that Australia was facing a worker and skills shortage (not to mention the cost impost) as increasing numbers of baby boomers retire from the workplace and are not quickly replaced.</p>
</div>
<div class=""col-md-12"">


<p>Any increase in Asian migration could also prove an opportunity for brokerages who have, in recent times, adapted their businesses to cater to Asian investors and migrants. One of these is aggregation group Vow Financial. Such is the importance of the Chinese market to Vow that its chief executive, Tim Brown, recently revealed he was taking lessons in Mandarin. “The Chinese market in Australia is growing &ndash; it’s 15 per cent of the market today. It could get to 20 per cent or 30 per cent over the next two or three years and it’s such an important piece of our growth strategy,” Mr Brown recently told The Adviser.</p>
<p>Source :&nbsp;http://www.theadviser.com.au/breaking-news/30004-australia-needs-more-asian-migration-economist</p></div></div>
		",,"2014-04-17 09:16:25","australia-needs-more-asian-migrants-economist","1","publish","https://www.immigrationxperts.com/wp-content/uploads/2016/06/download.jpg",,,"1","open","0","off","off","30","#000","0","off","0","49",,,,,,,,,,,,,"Immigration News|Australia",
